date,fii_net,dii_net,total_net,signal
2007-01-06,373.38,319.84,693.22,1
2007-01-08,-1255.54,935.44,-320.0999999999999,-1
2007-01-10,1721.74,-929.77,791.97,1
2007-01-11,74.25,56.22,130.47,1
2007-02-04,-509.33,0.0,-509.33,-1
2007-02-07,94.57,-86.71,7.859999999999999,1
2007-02-08,-537.97,282.57,-255.40000000000003,-1
2007-02-11,-1230.86,444.74,-786.1199999999999,-1
2007-03-04,-6.01,0.0,-6.01,-1
2007-03-05,69.7,186.4,256.1,1
2007-03-07,445.41,-170.74,274.67,1
2007-03-08,-142.7,59.09,-83.60999999999999,-1
2007-03-09,418.07,-16.52,401.55,1
2007-03-10,2662.06,-221.73,2440.33,1
2007-03-12,-39.25,449.51,410.26,-1
2007-04-04,-45.05,0.0,-45.05,-1
2007-04-05,-131.32,299.1,167.78000000000003,-1
2007-04-06,88.79,-28.94,59.85000000000001,1
2007-04-07,723.85,-397.14,326.71000000000004,1
2007-04-09,348.2,67.98,416.18,1
2007-04-10,457.28,-663.9,-206.62,1
2007-04-12,-332.86,116.31,-216.55,-1
2007-04-13,238.5,0.0,238.5,1
2007-04-16,307.75,17.79,325.54,1
2007-04-17,304.66,-310.19,-5.529999999999973,1
2007-04-18,465.32,19.44,484.76,1
2007-04-19,-229.13,273.76,44.629999999999995,-1
2007-04-20,622.51,129.87,752.38,1
2007-04-23,-142.49,257.72,115.23000000000002,-1
2007-04-24,340.39,184.29,524.68,1
2007-04-25,781.25,86.39,867.64,1
2007-04-26,-89.04,-178.03,-267.07,-1
2007-04-27,-377.95,175.97,-201.98,-1
2007-05-04,-85.8,0.0,-85.8,-1
2007-05-06,-148.3,47.79,-100.51000000000002,-1
2007-05-07,148.99,305.43,454.42,1
2007-05-09,336.99,-41.4,295.59000000000003,1
2007-05-10,948.06,-201.61,746.4499999999999,1
2007-05-11,-1093.16,648.69,-444.47,-1
2007-05-12,480.18,-159.71,320.47,1
2007-05-14,-85.32,1.79,-83.52999999999999,-1
2007-05-15,-283.63,-59.9,-343.53,-1
2007-05-16,-245.15,403.49,158.34,-1
2007-05-17,517.75,634.66,1152.4099999999999,1
2007-05-18,56.64,58.05,114.69,1
2007-05-21,182.66,257.93,440.59000000000003,1
2007-05-22,340.56,-127.82,212.74,1
2007-05-23,96.58,87.94,184.51999999999998,1
2007-05-24,-160.31,-136.3,-296.61,-1
2007-05-25,-204.25,171.49,-32.75999999999999,-1
2007-05-28,180.65,46.94,227.59,1
2007-05-29,697.96,-124.14,573.82,1
2007-05-30,-598.51,561.87,-36.639999999999986,-1
2007-05-31,168.86,32.19,201.05,1
2007-06-06,-230.97,355.44,124.47,-1
2007-06-07,541.39,16.39,557.78,1
2007-06-08,-1395.0,500.69,-894.31,-1
2007-06-09,311.37,-8.26,303.11,1
2007-06-11,7.62,206.56,214.18,1
2007-06-12,492.1,227.54,719.64,1
2007-06-13,-294.16,331.48,37.31999999999999,-1
2007-06-14,34.13,32.57,66.7,1
2007-06-15,-44.78,363.86,319.08000000000004,-1
2007-06-18,-88.36,370.0,281.64,-1
